材料序号,材料名称,品牌,关键属性,,,,,
WLZQJ0006,万利瓷砖600*300*15mm芝麻灰（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*300*15mm,,,,,
WLZQJ0007,万利瓷砖600*300*18mm芝麻灰（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*300*18mm,,,,,
WLZQJ0008,万利瓷砖600*600*15mm芝麻灰（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*600*15mm,,,,,
WLZQJ0009,万利瓷砖600*600*18mm芝麻灰（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*600*18mm,,,,,
WLZQJ0010,万利瓷砖600*900*18mm芝麻灰（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*900*18mm,,,,,
WLZQJ0011,万利瓷砖600*300*15mm芝麻黑（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*300*15mm,,,,,
WLZQJ0012,万利瓷砖600*300*18mm芝麻黑（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*300*18mm,,,,,
WLZQJ0013,万利瓷砖600*600*15mm芝麻黑（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*600*15mm,,,,,
WLZQJ0014,万利瓷砖600*600*18mm芝麻黑（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*600*18mm,,,,,
WLZQJ0015,万利瓷砖600*900*18mm芝麻黑（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*900*18mm,,,,,
WLZQJ0016,万利瓷砖600*300*15mm福鼎黑（荔枝面）,万利,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*300*15mm,,,,,
WLZQJ0017,万利瓷砖600*300*18mm福鼎黑（荔枝面）,万利,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*300*18mm,,,,,
WLZQJ0018,万利瓷砖600*600*15mm福鼎黑（荔枝面）,万利,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*600*15mm,,,,,
WLZQJ0019,万利瓷砖600*600*18mm福鼎黑（荔枝面）,万利,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*600*18mm,,,,,
WLZQJ0020,万利瓷砖600*900*18mm福鼎黑（荔枝面）,万利,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*900*18mm,,,,,
WLZQJ0021,万利瓷砖600*300*15mm山西黑（光面）,万利,产品分类#瓷砖|颜色#山西黑|尺寸#600*300*15mm,,,,,
WLZQJ0022,万利瓷砖600*300*18mm山西黑（光面）,万利,产品分类#瓷砖|颜色#山西黑|尺寸#600*300*18mm,,,,,
WLZQJ0023,万利瓷砖600*600*15mm山西黑（光面）,万利,产品分类#瓷砖|颜色#山西黑|尺寸#600*600*15mm,,,,,
WLZQJ0024,万利瓷砖600*600*18mm山西黑（光面）,万利,产品分类#瓷砖|颜色#山西黑|尺寸#600*600*18mm,,,,,
WLZQJ0025,万利瓷砖600*900*18mm山西黑（光面）,万利,产品分类#瓷砖|颜色#山西黑|尺寸#600*900*18mm,,,,,
WLZQJ0026,万利瓷砖600*300*15mm贵妃红（荔枝面）,万利,产品分类#瓷砖|颜色#贵妃红|尺寸#600*300*15mm,,,,,
WLZQJ0027,万利瓷砖600*300*18mm贵妃红（荔枝面）,万利,产品分类#瓷砖|颜色#贵妃红|尺寸#600*300*18mm,,,,,
WLZQJ0028,万利瓷砖600*600*15mm贵妃红（荔枝面）,万利,产品分类#瓷砖|颜色#贵妃红|尺寸#600*600*15mm,,,,,
WLZQJ0029,万利瓷砖600*600*18mm贵妃红（荔枝面）,万利,产品分类#瓷砖|颜色#贵妃红|尺寸#600*600*18mm,,,,,
WLZQJ0030,万利瓷砖600*900*18mm贵妃红（荔枝面）,万利,产品分类#瓷砖|颜色#贵妃红|尺寸#600*900*18mm,,,,,
WLZQJ0031,万利瓷砖600*300*15mm黄金麻A（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*300*15mm,,,,,
WLZQJ0032,万利瓷砖600*300*18mm黄金麻A（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*300*18mm,,,,,
WLZQJ0033,万利瓷砖600*600*15mm黄金麻A（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*600*15mm,,,,,
WLZQJ0034,万利瓷砖600*600*18mm黄金麻A（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*600*18mm,,,,,
WLZQJ0035,万利瓷砖600*900*18mm黄金麻A（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*900*18mm,,,,,
WLZQJ0036,万利瓷砖600*600*15mm黄金麻B（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*600*15mm,,,,,
WLZQJ0037,万利瓷砖600*600*18mm黄金麻B（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*600*18mm,,,,,
WLZQJ0038,万利瓷砖600*900*15mm黄金麻B（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*900*15mm,,,,,
WLZQJ0039,万利瓷砖600*900*18mm黄金麻B（荔枝面）,万利,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*900*18mm,,,,,
WLZQJ0040,万利瓷砖600*600*15mm白麻（荔枝面）,万利,产品分类#瓷砖|颜色#白麻|尺寸#600*600*15mm,,,,,
WLZQJ0041,万利瓷砖600*600*18mm白麻（荔枝面）,万利,产品分类#瓷砖|颜色#白麻|尺寸#600*600*18mm,,,,,
WLZQJ0042,万利瓷砖600*900*15mm白麻（荔枝面）,万利,产品分类#瓷砖|颜色#白麻|尺寸#600*900*15mm,,,,,
WLZQJ0043,万利瓷砖600*900*18mm白麻（荔枝面）,万利,产品分类#瓷砖|颜色#白麻|尺寸#600*900*18mm,,,,,
WLZQJ020001,万利直切加工,万利,产品分类#直切加工,,,,,
WLZQJ020002,万利直切加工,万利,产品分类#直切加工,,,,,
WLZQJ020003,万利边倒角加工,万利,产品分类#边倒角加工,,,,,
WLZQJ020004,万利边倒角加工,万利,产品分类#边倒角加工,,,,,
WLZQJ020005,万利切直角加工,万利,产品分类#切直角加工,,,,,
WLZQJ020006,万利切直角加工,万利,产品分类#切直角加工,,,,,
WLZQJ020007,万利对角切三角形加工,万利,产品分类#对角切三角形加工,,,,,
WLZQJ020008,万利对角切三角形加工,万利,产品分类#对角切三角形加工,,,,,
WLZQJ020009,万利普通梯级面板加工,万利,产品分类#普通梯级面板加工,,,,,
WLZQJ020010,万利普通梯级面板加工,万利,产品分类#普通梯级面板加工,,,,,
WLZQJ020011,万利加厚梯级面板加工,万利,产品分类#加厚梯级面板加工,,,,,
WLZQJ020012,万利加厚梯级面板加工,万利,产品分类#加厚梯级面板加工,,,,,
WLZQJ020013,万利异型规格加工,万利,产品分类#异型规格加工,,,,,
WLZQJ020014,万利异型规格加工,万利,产品分类#异型规格加工,,,,,
JMJJDX0001,九牧经济型小双盆水槽,九牧,档次#经济型|品牌#九牧|产品形式#小双盆,,,,,
JMJJDX0002,九牧经济型小单盆水槽,九牧,档次#经济型|品牌#九牧|产品形式#小单盆,,,,,
JMJJDX0003,九牧经济型高抛龙头龙头,九牧,档次#经济型|品牌#九牧|产品形式#高抛龙头,,,,,
YTTN0001,亚太天能三合一电子锁,亚太天能,功能#三合一,,,,,
YTTN0002,亚太天能四合一电子锁,亚太天能,功能#四合一,,,,,
YTTN0003,亚太天能机械锁电子锁,亚太天能,功能#机械锁,,,,,
FLKDX0001,弗兰卡高端大双盆水槽,弗兰卡,档次#高端|品牌#弗兰卡|产品形式#大双盆,,,,,
FLKDX0002,弗兰卡高端小双盆水槽,弗兰卡,档次#高端|品牌#弗兰卡|产品形式#小双盆,,,,,
FLKDX0003,弗兰卡高端大单盆水槽,弗兰卡,档次#高端|品牌#弗兰卡|产品形式#大单盆,,,,,
FLKDX0004,弗兰卡高端小单盆水槽,弗兰卡,档次#高端|品牌#弗兰卡|产品形式#小单盆,,,,,
FLKDX0005,弗兰卡高端高抛抽拉龙头龙头,弗兰卡,档次#高端|品牌#弗兰卡|产品形式#高抛抽拉龙头,,,,,
FHSJDX0001,泛海三江国产报警系统,泛海三江,,,,,,
NDFEDX0001,诺帝菲尔合资报警系统,诺帝菲尔,,,,,,
SDADX0001,视得安黑色高强度钢化玻璃/铝合金面板4寸数字主机（非人脸识别，非触摸）,视得安,品牌#视得安|产品名称#单元主机|产品材质#黑色高强度钢化玻璃/铝合金面板,,,,,
SDADX0002,视得安黑色高强度钢化玻璃/铝合金面板4寸数字主机（带人脸识别，非触摸）,视得安,品牌#视得安|产品名称#单元主机|产品材质#黑色高强度钢化玻璃/铝合金面板,,,,,
SDADX0003,视得安黑色高强度钢化玻璃/铝合金面板7寸单元主机（带人脸识别,视得安,品牌#视得安|产品名称#单元主机|产品材质#黑色高强度钢化玻璃/铝合金面板,,,,,
SDADX0004,视得安黑色高强度钢化玻璃/铝合金面板10寸竖屏单元主机（带人脸识别、带触摸屏）,视得安,品牌#视得安|产品名称#单元主机|产品材质#黑色高强度钢化玻璃/铝合金面板,,,,,
SDADX0005,视得安亚克力7寸室内分机（非触屏或触摸屏）,视得安,品牌#视得安|产品名称#数字分机|产品材质#亚克力,,,,,
SDADX0006,视得安亚克力7寸室内分机（标准板）,视得安,品牌#视得安|产品名称#数字分机|产品材质#亚克力,,,,,
SDADX0007,视得安亚克力带金属边框10寸室内分机(标准板),视得安,品牌#视得安|产品名称#数字分机|产品材质#亚克力带金属边框,,,,,
SDADX0008,视得安别墅门口机（带刷卡，数字型）,视得安,品牌#视得安|产品名称#门口机|产品材质#,,,,,
SDADX0009,视得安小门口机通用防雨罩,视得安,品牌#视得安|产品名称#门口机|产品材质#,,,,,
SDADX0010,视得安7寸管理机,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0011,视得安管理中心软件,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0012,视得安人脸信息采集器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0013,视得安门禁发卡器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0014,视得安电源（室内机）（按每4台分机配一个电源）,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0015,视得安电源（室内机）（按每8台分机配一个电源）,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0016,视得安电源（单元主机）,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0017,视得安电源（中心机）,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0018,视得安立式机柜(立式基座),视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0019,视得安网络型独立门禁（IC）,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0020,视得安POE模块,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0021,视得安协议模块电源,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0022,视得安电梯扩展器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0023,视得安梯控外呼控制器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0024,视得安梯控IC读卡器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0025,视得安梯控控制器电源,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
SDADX0026,视得安蓝牙执行器,视得安,品牌#视得安|产品名称#其他中间设备|产品材质#,,,,,
YHDX0001,视得安电梯协议转接模块,视得安,品牌#一恒|产品名称#其他中间设备|产品材质#,,,,,
YHDX0002,视得安电梯联动控制器,视得安,品牌#一恒|产品名称#其他中间设备|产品材质#,,,,,
YHDX0003,视得安电梯扩展器,视得安,品牌#一恒|产品名称#其他中间设备|产品材质#,,,,,
YHDX0004,视得安人体感应探测器（用于实现人来自动开）,视得安,品牌#一恒|产品名称#其他中间设备|产品材质#,,,,,
JMWYDX0001,九牧不锈钢拉丝冲洗阀,九牧,品牌#九牧|材质#不锈钢拉丝,,,,,
JMWYDX0002,九牧不锈钢拉丝冲洗阀,九牧,品牌#九牧|材质#不锈钢拉丝,,,,,
JMWYDX0003,九牧不锈钢拉丝冲洗阀,九牧,品牌#九牧|材质#不锈钢拉丝,,,,,
JMWYDX0004,九牧不锈钢拉丝冲洗阀,九牧,品牌#九牧|材质#不锈钢拉丝,,,,,
JMWYDX0005,九牧铜表面镀铬冲洗阀,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0006,九牧铜表面镀铬冲洗阀,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0007,九牧陶瓷连体坐便器,九牧,品牌#九牧|材质#陶瓷连体,,,,,
JMWYDX0008,九牧陶瓷连体坐便器,九牧,品牌#九牧|材质#陶瓷连体,,,,,
JMWYDX0009,九牧陶瓷小便器,九牧,品牌#九牧|材质#陶瓷 ,,,,,
JMWYDX0010,九牧陶瓷蹲便器,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0011,九牧PVC低压水箱,九牧,品牌#九牧|材质#PVC,,,,,
JMWYDX0012,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0013,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0014,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0015,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0016,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0017,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0018,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0019,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0020,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0021,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0022,九牧龙头铜镀铬、花洒ABS,九牧,"品牌#九牧|材质#龙头铜镀铬    花洒ABS
",,,,,
JMWYDX0023,九牧龙头铜镀铬、花洒ABS,九牧,"品牌#九牧|材质#龙头铜镀铬    花洒ABS
",,,,,
JMWYDX0024,九牧不锈钢镀铬淋浴升降杆,九牧,品牌#九牧|材质#不锈钢镀铬,,,,,
JMWYDX0025,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0026,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0027,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0028,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0029,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0030,九牧铜表面镀铬龙头,九牧,品牌#九牧|材质#铜表面镀铬,,,,,
JMWYDX0031,九牧陶瓷地拖盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0032,九牧304不锈钢管残疾人扶手,九牧,品牌#九牧|材质#304不锈钢管,,,,,
JMWYDX0033,九牧304不锈钢管残疾人扶手,九牧,品牌#九牧|材质#304不锈钢管,,,,,
JMWYDX0034,九牧304不锈钢管残疾人扶手,九牧,品牌#九牧|材质#304不锈钢管,,,,,
JMWYDX0035,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0036,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0037,九牧陶瓷陶瓷盆,九牧,品牌#九牧|材质#陶瓷,,,,,
JMWYDX0038,九牧三胺板柜体成品浴室柜,九牧,品牌#九牧|材质#三胺板柜体,,,,,
JMWYDX0039,九牧三胺板柜体成品浴室柜,九牧,品牌#九牧|材质#三胺板柜体,,,,,
JMWYDX0040,九牧三胺板柜体成品浴室柜,九牧,品牌#九牧|材质#三胺板柜体,,,,,
JMWYDX0041,九牧三胺板柜体成品浴室柜,九牧,品牌#九牧|材质#三胺板柜体,,,,,
